City,Cost of Living Index_x,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index,Crime Index,Safety Index_x,Health Care Index_x,Health Care Exp. Index,Pollution Index_x,Exp Pollution Index,Land area (km2 2011),Growth Rate 2011–2016,Population (2016),Climate Index,Population (2011),Population (2006),Population (2001),Population (1996),Price To Income Ratio,Gross Rental Yield City Centre,Gross Rental Yield Outside of Centre,Price To Rent Ratio City Centre,Price To Rent Ratio Outside Of City Centre,Mortgage As A Percentage Of Income,Affordability Index,Quality of Life Index,Purchasing Power Index,Safety Index_y,Health Care Index_y,Cost of Living Index_y,Property Price to Income Ratio,Traffic Commute Time Index,Pollution Index_y,January - Avg. high °C,January - Avg. low °C,July - Avg. high °C,July - Avg. low °C,Traffic Index,Time Index (in minutes),Time Exp. Index,Inefficiency Index,CO2 Emission Index
Victoria,66.22,36.39,51.93,66.73,60.59,100.89,32.25,67.75,72.13,132.78,16.28,32.0,19.5,7%,85792,92.52,80017.0,78057.0,74125.0,73405.0,7.88,5.17,6.5,19.35,15.39,54.13,1.85,192.7,100.08,67.75,72.13,66.22,7.88,31.09,16.28,7.6,1.5,22.4,11.3,123.78,31.09,166.67,135.34,4643.96
Vancouver,67.89,46.88,57.82,65.73,66.61,90.78,36.25,63.75,74.06,136.01,23.23,39.43,115.0,5%,631486,91.15,603502.0,578041.0,545671.0,514008.0,16.16,3.63,3.54,27.55,28.26,114.1,0.88,169.81,90.8,63.75,74.06,67.95,16.16,39.91,23.23,6.9,1.4,22.2,13.7,168.55,39.91,1588.42,163.51,5774.97
Toronto,79.79,47.14,64.15,79.13,75.11,86.67,35.79,64.21,74.99,137.75,37.86,62.39,630.2,4%,2731571,65.35,2615060.0,2503281.0,2481494.0,2385421.0,13.17,4.31,4.19,23.22,23.89,93.31,01.07,150.84,86.68,64.21,74.99,79.74,13.17,42.67,37.86,−1.5,−9.4,27.1,15.8,187.77,42.67,2498.89,224.97,6418.0
Hamilton,59.53,25.21,43.09,54.44,58.65,125.97,47.17,52.83,82.51,152.9,49.08,86.64,1117.2,3%,536917,61.06,519949.0,504559.0,490268.0,467799.0,6.22,4.72,5.11,21.19,19.57,42.63,2.35,166.95,124.96,52.83,82.51,59.53,6.22,35.81,49.08,,,,,142.81,35.81,682.59,224.44,4341.78
Kelowna,67.37,31.84,50.35,63.87,67.25,105.25,52.71,47.29,71.3,133.87,,,211.6,9%,12738,59.65,117312.0,106707.0,96288.0,89442.0,5.36,7.24,7.2,13.81,13.89,37.16,2.69,167.61,104.41,47.29,71.3,67.37,5.36,37.09,23.34,,,,,137.61,37.09,912.16,221.58,3072.7
Halifax,68.32,26.21,48.15,71.76,58.54,96.72,42.11,57.89,71.09,131.1,24.38,41.56,5490.3,3%,403131,58.99,390096.0,372679.0,359111.0,342851.0,6.11,5.31,7.43,18.82,13.46,43.2,2.31,170.96,96.7,57.89,71.09,68.36,6.11,31.11,24.38,−1.3,−10.4,23.8,13.7,118.64,31.11,168.17,148.53,3890.72
Mississauga,65.3,35.46,51.0,60.33,59.04,120.71,43.9,56.1,68.16,123.1,22.5,37.03,292.4,1%,721599,58.72,713443.0,668549.0,612925.0,544382.0,8.23,5.0,4.43,20.01,22.58,56.04,1.78,177.68,119.75,56.1,68.16,65.3,8.23,30.69,22.5,,,,,132.17,30.69,143.43,140.04,6033.33
Montreal,61.9,23.98,43.73,61.44,58.46,110.2,32.16,67.84,62.57,117.05,32.0,54.09,365.1,3%,1704694,52.37,1649519.0,1620693.0,1583590.0,1547030.0,6.97,4.41,05.07,22.67,19.73,47.78,02.09,164.9,110.19,67.84,62.57,62.01,6.97,42.17,32.0,−5.3,−14.0,26.3,16.1,177.7,42.17,2313.71,195.24,5396.74
Quebec City,63.5,15.44,40.48,62.93,58.06,133.4,15.94,84.06,67.14,125.24,,,454.1,3%,531902,47.98,516622.0,491142.0,47633.0,473569.0,3.56,5.37,5.36,18.62,18.67,23.1,4.33,190.48,132.33,84.06,67.14,63.5,3.56,30.52,33.25,−7.9,−17.7,25.0,13.5,118.61,30.52,134.46,108.41,4366.32
Ottawa,64.41,29.5,47.68,59.85,60.93,131.97,24.91,75.09,74.58,136.85,17.66,31.92,2790.2,6%,934243,44.46,883391.0,812129.0,774072.0,721136.0,4.82,5.79,7.59,17.26,13.17,34.15,2.93,194.91,131.97,75.09,74.58,64.41,4.82,34.07,17.66,−5.8,−14.8,26.5,15.5,131.26,34.07,434.58,127.98,4229.23
